lat,lng,Address,Country,State,totalCount
50.8639531,4.6796608,"Celestijnenlaan 200n, Katholieke Universiteit Leuven, 3001 Leuven, Belgium",Belgium,Flemish Region,1
32.8797081,-117.2350537,"Center for Astrophysics and Space Sciences, University of California - San Diego, University Center, 9500 Gilman Drive, San Diego, CA 92093, USA",United States,California,1
19.7007038,-155.0895004,"670 North Aohoku Place, Hilo, HI 96720, USA",United States,Hawaii,1
34.4301656,-119.8696691,"Goleta, CA 93117, USA",United States,California,1
34.414052,-119.843298,"University of California: Physics, UC Santa Barbara, Broida Hall, Santa Barbara, CA 93106, USA",United States,California,1
42.7240223,-84.4760328,"Physics and Astronomy, Michigan State University, East Lansing, MI 48864, USA",United States,Michigan,1
54.768139,-1.5718583,"Durham, County Durham DH1 3LE, UK",United Kingdom,NULL,1
42.2763223,-83.7346619,"450 Church Street, Ann Arbor, MI 48109, USA",United States,Michigan,1
46.0564509,14.5080702,"Ljubljana, Slovenia",Slovenia,Ljubljana,1
52.2145316,0.0953282,"Cambridge, Cambridgeshire CB3 0HA, UK",United Kingdom,NULL,1
37.4185193,-122.2055072,"SLAC National Accelerator Laboratory, 2575 Sand Hill Road, Menlo Park, CA 94025, USA",United States,California,1
41.8620235,12.6331035,"00133 Province of Rome, Italy",Italy,Lazio,1
41.3126451,-72.9251244,"Applied Physics Department, Yale University, New Haven, CT 06511, USA",United States,Connecticut,1
52.6242499,-1.1240441,"University Road, Leicester LE1 7RA, UK",United Kingdom,NULL,1
39.9977997,116.3043242,"5 Yiheyuan Road, Haidian, Beijing, China, 100871",China,Beijing,1
40.0079468,-105.246346,"Center for Astrophysics and Space Astronomy, University of Colorado Boulder, Research Park, Boulder, CO 80303, USA",United States,Colorado,1
40.9183006,-73.1175003,"Stony Brook, NY 11794, USA",United States,New York,1
56.3401503,-2.8074837,"Saint Andrews, Fife KY16 9SS, UK",United Kingdom,NULL,1
42.319778,-72.640571,"Smith College, 7 College lane, Northampton, MA 01063, USA",United States,Massachusetts,1
35.9091261,-79.0472628,"University of North Carolina at Chapel Hill, 220 East Cameron Avenue, Chapel Hill, NC 27514, USA",United States,North Carolina,1
-33.4552646,-70.6674996,"República, Santiago, Santiago Metropolitan Region, Chile",Chile,Santiago Metropolitan Region,1
56.1636091,10.201665,"Ny Munkegade, 8000 Aarhus, Denmark",Denmark,Central Denmark Region,1
52.52998,13.36409,"Lehrter Straße 16, 10557 Berlin, Germany",Germany,Berlin,1
32.2331503,-110.9487605,"933 North Cherry Avenue, The University of Arizona, Tucson, AZ 85721, USA",United States,Arizona,1
32.2314654,-110.9472134,"1630 East University Boulevard, The University of Arizona, Tucson, AZ 85719, USA",United States,Arizona,1
35.905249,-79.0581498,"Chapel Hill, NC 27599, USA",United States,North Carolina,1
38.0369251,-78.5179117,"Stone Hall, University of Virginia, Charlottesville, VA 22903, USA",United States,Virginia,1
38.02,-84.5,"Lexington, KY 40506, USA",United States,Kentucky,1
35.81,-78.72,"Raleigh, NC 27695, USA",United States,North Carolina,1
48.7387998,-122.484692,"Western Washington University, 516 High Street, Bellingham, WA 98225, USA",United States,Washington,1
45.0678799,7.6856432,"Università degli Studi di Torino - Dipartimento di Matematica ""giuseppe Peano"", Via Carlo Alberto, 10, 10123 Turin, Italy",Italy,Piedmont,1
48.14602,11.60674,"Scheinerstraße 1, 81679 Munich, Germany",Germany,Bavaria,1
35.2074515,-97.4348055,"440 East Brooks Street, Norman, OK 73071, USA",United States,Oklahoma,1
43.0721697,141.3418792,"Kita 10 Jonishi, Kita Ward, Sapporo, Hokkaido Prefecture 060-0810, Japan",Japan,Hokkaido Prefecture,1
43.0744562,-89.4049805,"Department of Astronomy, University of Wisconsin-Madison, 475 North Charter Street, Madison, WI 53706, USA",United States,Wisconsin,1
35.7055238,139.7596611,"Hongo, Bunkyo, Tokyo 113-0033, Japan",Japan,Tokyo,1
32.7830575,-79.9365839,"Charleston, SC 29424, USA",United States,South Carolina,1
34.1279964,-118.147567,"1111 South Arroyo Parkway, Pasadena, CA 91105, USA",United States,California,1
19.7297222,-155.09,"Hilo, HI, USA",United States,Hawaii,1
40.5229147,-122.3221947,"Redding, CA 96002, USA",United States,California,1
34.1561783,-118.1528623,"Pasadena, CA 91109, USA",United States,California,1
34.4030129,132.7148958,"１丁目-３ Kagamiyama, Higashihiroshima, Hiroshima Prefecture 739-8511, Japan",Japan,Hiroshima Prefecture,1
25.0261583,121.5427093,"Daan District, Taipei City, Taiwan 106",Taiwan,NULL,1
38.2553603,140.8444279,"Aoba Aramaki, Aoba Ward, Sendai, Miyagi Prefecture 980-8578, Japan",Japan,Miyagi Prefecture,1
35.0262444,135.7808218,"Kyoto University, Yoshidahonmachi, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan",Japan,Kyoto Prefecture,1
39.0278634,-76.9627463,"US Army Research Laboratory, 2800 Powder Mill Road, Adelphi, MD 20783, USA",United States,Maryland,1
43.2612999,-79.9202568,"McMaster University, 1280 Main Street West, Hamilton, ON L8S 4L8, Canada",Canada,Ontario,1
